distance_modulus,mu_error,distance_mpc,method,reference,velocity_kms,implied_H0,distance_sigma_mpc,H0_sigma
34.43,0.1,76.9,CMD,1985ApJ...291.586B,7194,93.55006501950585,3.5413758730248435,4.315218803792521
34.5,0.17,79.4,CMD,1991A&A...242...17C,7194,90.60453400503778,6.216058717046727,7.0972733068314175
34.85,0.13,93.3,CMD,1991A&A...242...17C,7194,77.10610932475885,5.585610918584957,4.620617604408095
35.1,0.55,105.0,SBF,2000ApJ...529..745F,7194,68.51428571428572,26.594857824081235,17.354540426804956
34.89,0.35,92.9,BCG,1980ApJ...241..486H,7194,77.43810548977395,14.973710859740281,12.48322342759603
35.79,0.05,144.0,D-Sigma,1996MNRAS.280..167J,7194,49.958333333333336,3.3157225339114262,1.1578754942976708
35.79,0.05,144.0,FP,1996MNRAS.280..167J,7194,49.958333333333336,3.3157225339114262,1.1578754942976708
35.79,0.05,144.0,FP,1996MNRAS.280..167J,7194,49.958333333333336,3.3157225339114262,1.1578754942976708
35.06,,103.0,SZ effect,2005ApJ...625..108D,7194,69.84466019417475,,
35.22,,111.0,SZ effect,2001ApJ...555L..11M,7194,64.8108108108108,,
